PORCENTAJE DE ÉXITO TABLA DEL HEXADECIMAL:

Filas x columnas:

- 250 x 50     = 15.9%
- 250 x 100    = 22.2%
- 250 x 200    = 24.1%
- 250 x 400    = 22.1%
- 250 x 500    = 21.1%
- 250 x 1000   = 20.5%
- 500 x 50     = 29.7%
- 500 x 100    = 41.7%
- 500 x 200    = 44.4%
- 500 x 400    = 41.0%
- 500 x 500    = 38.2%
- 500 x 1000   = 35.6%
- 750 x 50     = 40.2%
- 750 x 100    = 56.2%
- 750 x 200    = 61.2%
- 750 x 400    = 57.0%
- 750 x 500    = 53.1%
- 750 x 1000   = 48.0%
- 1000 x 50    = 48.8%
- 1000 x 100   = 66.2%
- 1000 x 200   = 70.3%
- 1000 x 400   = 64.7%
- 1000 x 500   = 60.8%
- 1000 x 1000  = 57.1%
- 1500 x 50    = 61.2%
- 1500 x 100   = 76.9%
- 1500 x 200   = 82.1%
- 1500 x 400   = 74.6%
- 1500 x 500   = 69.3%
- 1500 x 1000  = 69.4%
- 2000 x 50    = 69.7%
- 2000 x 100   = 82.8%
- 2000 x 200   = 87.3%
- 2000 x 400   = 78.9%
- 2000 x 500   = 74.9%
- 2000 x 1000  = 73.8%
- 2500 x 50    = 76.0%
- 2500 x 100   = 87.0%
- 2500 x 200   = 90.2%
- 2500 x 400   = 82.1%
- 2500 x 500   = 77.6%
- 2500 x 1000  = 76.1%
- 5000 x 50    = 88.6%
- 5000 x 100   = 93.4%
- 5000 x 200   = 94.3%
- 5000 x 400   = 90.1%
- 5000 x 500   = 81.9%
- 5000 x 1000  = 79.3%
- 10000 x 50   = 94.4%
- 10000 x 100  = 97.1%
- 10000 x 200  = 97.4%
- 10000 x 400  = 93.8%
- 10000 x 500  = 85.3%
- 10000 x 1000 = 79.6%
