COLISIONES TABLA DEL ARCOIRIS MÓDULO 10^6:

Filas x columnas:

- 250 x 50     = 2
- 250 x 100    = 5
- 250 x 200    = 9
- 250 x 400    = 13
- 250 x 500    = 15
- 250 x 1000   = 23
- 500 x 50     = 9
- 500 x 100    = 13
- 500 x 200    = 23
- 500 x 400    = 42
- 500 x 500    = 50
- 500 x 1000   = 68
- 1000 x 50    = 26
- 1000 x 100   = 50
- 1000 x 200   = 89
- 1000 x 400   = 165
- 1000 x 500   = 194
- 1000 x 1000  = 240
- 2000 x 50    = 103
- 2000 x 100   = 191
- 2000 x 200   = 320
- 2000 x 400   = 571
- 2000 x 500   = 651
- 2000 x 1000  = 807
- 2500 x 50    = 145
- 2500 x 100   = 269
- 2500 x 200   = 448
- 2500 x 400   = 799
- 2500 x 500   = 917
- 2500 x 1000  = 1142
- 5000 x 50    = 508
- 5000 x 100   = 948
- 5000 x 200   = 1503
- 5000 x 400   = 2437
- 5000 x 500   = 2737
- 5000 x 1000  = 3251
- 10000 x 50   = 1908
- 10000 x 100  = 3257
- 10000 x 200  = 4718
- 10000 x 400  = 6583
- 10000 x 500  = 7114
- 10000 x 1000 = 7964
- 20000 x 50   = 6537
- 20000 x 100  = 9928
- 25000 x 40   = 8147
- 25000 x 100  = 13791
- 50000 x 20   = 16479
- 50000 x 50   = 27559
- 50000 x 100  = 35503
- 100000 x 10  = 33211
- 100000 x 50  = 71060
- 100000 x 100 = 82929
- 200000 x 5   = 67215
- 250000 x 4   = 84558
- 250000 x 50  = 215129
- 250000 x 100 = 231052
- 500000 x 2   = 173339
- 500000 x 50  = 462595
- 500000 x 100 = 480375
- 1000000 x 1  = 0
- 1000000 x 50 = 961284
- 1000000 x 100= 980029
