PORCENTAJE DE ÉXITO TABLA DEL ARCOIRIS PATRÓN:

Filas x columnas:

- 250 x 50     = 4.6%
- 250 x 100    = 12.2%
- 250 x 200    = 20.7%
- 250 x 400    = 23.4%
- 250 x 500    = 23.9%
- 250 x 1000   = 22.2%
- 500 x 50     = 8.9%
- 500 x 100    = 22.9%
- 500 x 200    = 38.1%
- 500 x 400    = 44.1%
- 500 x 500    = 46.1%
- 500 x 1000   = 38.9%
- 750 x 50     = 14.2%
- 750 x 100    = 32.7%
- 750 x 200    = 51.5%
- 750 x 400    = 58.8%
- 750 x 500    = 62.0%
- 750 x 1000   = 51.0%
- 1000 x 50    = 19.6%
- 1000 x 100   = 41.2%
- 1000 x 200   = 61.4%
- 1000 x 400   = 68.9%
- 1000 x 500   = 73.4%
- 1000 x 1000  = 60.4%
- 1500 x 50    = 27.4%
- 1500 x 100   = 54.5%
- 1500 x 200   = 74.5%
- 1500 x 400   = 82.7%
- 1500 x 500   = 85.1%
- 1500 x 1000  = 74.1%
- 2000 x 50    = 33.0%
- 2000 x 100   = 62.9%
- 2000 x 200   = 81.5%
- 2000 x 400   = 89.0%
- 2000 x 500   = 90.4%
- 2000 x 1000  = 80.8%
- 2500 x 50    = 40.2%
- 2500 x 100   = 70.4%
- 2500 x 200   = 86.7%
- 2500 x 400   = 92.2%
- 2500 x 500   = 94.0%
- 2500 x 1000  = 84.3%
- 5000 x 50    = 63.1%
- 5000 x 100   = 87.4%
- 5000 x 200   = 96.0%
- 5000 x 400   = 98.0%
- 5000 x 500   = 98.3%
- 5000 x 1000  = 92.6%
- 10000 x 50   = 82.8%
- 10000 x 100  = 95.9%
- 10000 x 200  = 98.8%
- 10000 x 400  = 99.3%
- 10000 x 500  = 99.6%
- 10000 x 1000 = 95.5%
- 20000 x 50   = 95.6%
- 20000 x 100  = 99.2%
- 25000 x 40   = 93.8%
- 25000 x 100  = 99.5%
- 50000 x 20   = 89.3%
- 50000 x 50   = 99.9%
- 50000 x 100  = 99.8%
- 100000 x 10  = 87.3%
- 100000 x 50  = 99.9%
- 100000 x 100 = 100 %
- 200000 x 5   = 82.2%
- 250000 x 4   = 83.0%
- 250000 x 50  = 100 %
- 250000 x 100 = 100 %
- 500000 x 2   = 84.7%
- 500000 x 50  = 100 %
- 500000 x 100 = 100 %
- 1000000 x 1  = 100 %
- 1000000 x 50 = 100 %
- 1000000 x 100= 100 %
