PORCENTAJE DE ÉXITO TABLA DEL ARCOIRIS R1+R2:

Filas x columnas:

- 250 x 50     = 15.5%
- 250 x 100    = 23.8%
- 250 x 200    = 24.4%
- 250 x 400    = 24.4%
- 250 x 500    = 24.2%
- 250 x 1000   = 22.6%
- 500 x 50     = 29.4%
- 500 x 100    = 45.4%
- 500 x 200    = 47.3%
- 500 x 400    = 45.3%
- 500 x 500    = 44.5%
- 500 x 1000   = 39.3%
- 750 x 50     = 42.5%
- 750 x 100    = 63.3%
- 750 x 200    = 68.2%
- 750 x 400    = 64.1%
- 750 x 500    = 62.3%
- 750 x 1000   = 53.1%
- 1000 x 50    = 51.5%
- 1000 x 100   = 74.5%
- 1000 x 200   = 83.6%
- 1000 x 400   = 77.3%
- 1000 x 500   = 74.4%
- 1000 x 1000  = 63.1%
- 1500 x 50    = 65.8%
- 1500 x 100   = 88.3%
- 1500 x 200   = 94.4%
- 1500 x 400   = 92.6%
- 1500 x 500   = 89.9%
- 1500 x 1000  = 77.3%
- 2000 x 50    = 75.9%
- 2000 x 100   = 93.8%
- 2000 x 200   = 97.2%
- 2000 x 400   = 96.8%
- 2000 x 500   = 95.4%
- 2000 x 1000  = 85.9%
- 2500 x 50    = 82.4%
- 2500 x 100   = 96.2%
- 2500 x 200   = 98.1%
- 2500 x 400   = 98.1%
- 2500 x 500   = 97.7%
- 2500 x 1000  = 89.9%
- 5000 x 50    = 96.1%
- 5000 x 100   = 99.4%
- 5000 x 200   = 99.9%
- 5000 x 400   = 99.8%
- 5000 x 500   = 99.6%
- 5000 x 1000  = 95.4%
- 10000 x 50   = 98.8%
- 10000 x 100  = 99.9%
- 10000 x 200  = 100 %
- 10000 x 400  = 100 %
- 10000 x 500  = 100 %
- 10000 x 1000 = 97.9%
- 20000 x 50   = 99.6%
- 20000 x 100  = 99.9%
- 25000 x 40   = 99.7%
- 25000 x 100  = 99.9%
- 50000 x 20   = 99.5%
- 50000 x 50   = 100 %
- 50000 x 100  = 100 %
- 100000 x 10  = 98.3%
- 100000 x 50  = 100 %
- 100000 x 100 = 100 %
- 200000 x 5   = 97.0%
- 250000 x 4   = 96.2%
- 250000 x 50  = 100 %
- 250000 x 100 = 100 %
- 500000 x 2   = 97.0%
- 500000 x 50  = 100 %
- 500000 x 100 = 100 %
- 1000000 x 1  = 100 %
- 1000000 x 50 = 100 %
- 1000000 x 100= 100 %
